# Zvolene hodnoty h0 = 10, v0 = 60 m/s a alpha0 = 45°
# t[s]   x[m]   y[m]    vx[m/s]   vy[m/s]   v[m/s]
0.00     0.00   10.00    42.43    42.43      60.00
0.01     0.42   10.42    42.43    42.33      60.00
0.02     0.85   10.85    42.43    42.23      60.00
0.03     1.27   11.27    42.43    42.13      60.00
0.04     1.70   11.69    42.43    42.03      60.00
0.05     2.12   12.11    42.43    41.94      60.00
0.06     2.55   12.53    42.43    41.84      60.00
0.07     2.97   12.95    42.43    41.74      60.00
0.08     3.39   13.36    42.43    41.64      60.00
0.09     3.82   13.78    42.43    41.54      60.00
0.10     4.24   14.19    42.43    41.44      60.00
0.11     4.67   14.61    42.43    41.35      60.00
0.12     5.09   15.02    42.43    41.25      60.00
0.13     5.52   15.43    42.43    41.15      60.00
0.14     5.94   15.84    42.43    41.05      60.00
0.15     6.36   16.25    42.43    40.95      60.00
0.16     6.79   16.66    42.43    40.86      60.00
0.17     7.21   17.07    42.43    40.76      60.00
0.18     7.64   17.48    42.43    40.66      60.00
0.19     8.06   17.88    42.43    40.56      60.00
0.20     8.49   18.29    42.43    40.46      60.00
0.21     8.91   18.69    42.43    40.37      60.00
0.22     9.33   19.10    42.43    40.27      60.00
0.23     9.76   19.50    42.43    40.17      60.00
0.24     10.18   19.90    42.43    40.07      60.00
0.25     10.61   20.30    42.43    39.97      60.00
0.26     11.03   20.70    42.43    39.88      60.00
0.27     11.46   21.10    42.43    39.78      60.00
0.28     11.88   21.49    42.43    39.68      60.00
0.29     12.30   21.89    42.43    39.58      60.00
0.30     12.73   22.29    42.43    39.48      60.00
0.31     13.15   22.68    42.43    39.39      60.00
0.32     13.58   23.07    42.43    39.29      60.00
0.33     14.00   23.47    42.43    39.19      60.00
0.34     14.43   23.86    42.43    39.09      60.00
0.35     14.85   24.25    42.43    38.99      60.00
0.36     15.27   24.64    42.43    38.90      60.00
0.37     15.70   25.03    42.43    38.80      60.00
0.38     16.12   25.41    42.43    38.70      60.00
0.39     16.55   25.80    42.43    38.60      60.00
0.40     16.97   26.19    42.43    38.50      60.00
0.41     17.40   26.57    42.43    38.40      60.00
0.42     17.82   26.95    42.43    38.31      60.00
0.43     18.24   27.34    42.43    38.21      60.00
0.44     18.67   27.72    42.43    38.11      60.00
0.45     19.09   28.10    42.43    38.01      60.00
0.46     19.52   28.48    42.43    37.91      60.00
0.47     19.94   28.86    42.43    37.82      60.00
0.48     20.37   29.23    42.43    37.72      60.00
0.49     20.79   29.61    42.43    37.62      60.00
0.50     21.21   29.99    42.43    37.52      60.00
0.51     21.64   30.36    42.43    37.42      60.00
0.52     22.06   30.74    42.43    37.33      60.00
0.53     22.49   31.11    42.43    37.23      60.00
0.54     22.91   31.48    42.43    37.13      60.00
0.55     23.34   31.85    42.43    37.03      60.00
0.56     23.76   32.22    42.43    36.93      60.00
0.57     24.18   32.59    42.43    36.84      60.00
0.58     24.61   32.96    42.43    36.74      60.00
0.59     25.03   33.32    42.43    36.64      60.00
0.60     25.46   33.69    42.43    36.54      60.00
0.61     25.88   34.05    42.43    36.44      60.00
0.62     26.30   34.42    42.43    36.35      60.00
0.63     26.73   34.78    42.43    36.25      60.00
0.64     27.15   35.14    42.43    36.15      60.00
0.65     27.58   35.50    42.43    36.05      60.00
0.66     28.00   35.86    42.43    35.95      60.00
0.67     28.43   36.22    42.43    35.85      60.00
0.68     28.85   36.58    42.43    35.76      60.00
0.69     29.27   36.94    42.43    35.66      60.00
0.70     29.70   37.30    42.43    35.56      60.00
0.71     30.12   37.65    42.43    35.46      60.00
0.72     30.55   38.00    42.43    35.36      60.00
0.73     30.97   38.36    42.43    35.27      60.00
0.74     31.40   38.71    42.43    35.17      60.00
0.75     31.82   39.06    42.43    35.07      60.00
0.76     32.24   39.41    42.43    34.97      60.00
0.77     32.67   39.76    42.43    34.87      60.00
0.78     33.09   40.11    42.43    34.78      60.00
0.79     33.52   40.46    42.43    34.68      60.00
0.80     33.94   40.80    42.43    34.58      60.00
0.81     34.37   41.15    42.43    34.48      60.00
0.82     34.79   41.49    42.43    34.38      60.00
0.83     35.21   41.84    42.43    34.29      60.00
0.84     35.64   42.18    42.43    34.19      60.00
0.85     36.06   42.52    42.43    34.09      60.00
0.86     36.49   42.86    42.43    33.99      60.00
0.87     36.91   43.20    42.43    33.89      60.00
0.88     37.34   43.54    42.43    33.80      60.00
